"ID","Name","Type","Num_Parties","Is_Switcher"
"Chaudhary_Muhammad_Iqbal_Gujjar","Chaudhary Muhammad Iqbal Gujjar","Candidate",1,FALSE
"Gulana_Bibi","Gulana Bibi","Candidate",1,FALSE
"Kanwar_Aamir_Sami","Kanwar Aamir Sami","Candidate",1,FALSE
"Mahboob_Aftab_Khan","Mahboob Aftab Khan","Candidate",1,FALSE
"Malik_Tariq_Mehmood","Malik Tariq Mehmood","Candidate",2,TRUE
"Muhammad_Nasrullah_Arain","Muhammad Nasrullah Arain","Candidate",1,FALSE
"Muhammad_Rashid","Muhammad Rashid","Candidate",2,TRUE
"Muhammad_Usama_Nawaz","Muhammad Usama Nawaz","Candidate",1,FALSE
"Nawab_Imran_Khan_Khilji","Nawab Imran Khan Khilji","Candidate",1,FALSE
"Sheikh_Rashid_Ahmed","Sheikh Rashid Ahmed","Candidate",1,FALSE
"Syed_Mustafsir_Hussain_Bukhari","Syed Mustafsir Hussain Bukhari","Candidate",1,FALSE
"Syed_Rehan_Ali","Syed Rehan Ali","Candidate",1,FALSE
"Zafar_Ahmed_Ghori","Zafar Ahmed Ghori","Candidate",1,FALSE
"Commander__r__Ayoub_Malik","Commander (r) Ayoub Malik","Candidate",1,FALSE
"Fanoos_Gujar","Fanoos Gujar","Candidate",2,TRUE
"Ghulam_Abbas","Ghulam Abbas","Candidate",4,TRUE
"Ghulam_Qadir_Alias_Papu","Ghulam Qadir Alias Papu","Candidate",1,FALSE
"Kamal_Shah","Kamal Shah","Candidate",2,TRUE
"Khan_Zada","Khan Zada","Candidate",1,FALSE
"Mian_Abdul_Qayum","Mian Abdul Qayum","Candidate",1,FALSE
"Mian_Ashiq_Hussain_Kamyana_Advocate","Mian Ashiq Hussain Kamyana Advocate","Candidate",1,FALSE
"Muhammad_Aslam_Miraj","Muhammad Aslam Miraj","Candidate",1,FALSE
"Muhammad_Athar_Khan_Advocate","Muhammad Athar Khan Advocate","Candidate",1,FALSE
"Bahri_Room","Bahri Room","Candidate",1,FALSE
"Usman_Ghani","Usman Ghani","Candidate",3,TRUE
"Gul_Muhammad_Bhatti","Gul Muhammad Bhatti","Candidate",1,FALSE
"Gull_Muhammad_Bhatti__Retired_","Gull Muhammad Bhatti (Retired)","Candidate",1,FALSE
"Sardar_Sher_Zaman_Khan_Qaisrani","Sardar Sher Zaman Khan Qaisrani","Candidate",1,FALSE
"Makhdoom_Syed_Sami_Ul_Hassan_Gillani","Makhdoom Syed Sami Ul Hassan Gillani","Candidate",1,FALSE
"Muhammd_Farooq_Azam_Malik","Muhammd Farooq Azam Malik","Candidate",1,FALSE
"Bahi_Khan","Bahi Khan","Candidate",1,FALSE
"Jasim","Jasim","Candidate",1,FALSE
"Khalid_Hussain_Magsi","Khalid Hussain Magsi","Candidate",2,TRUE
"Manzoor_Ahmed","Manzoor Ahmed","Candidate",4,TRUE
"Mir_Shah_Jahan_Khan_Khetran","Mir Shah Jahan Khan Khetran","Candidate",2,TRUE
"Prince_Ahmed_Omar_Ahmedzai","Prince Ahmed Omar Ahmedzai","Candidate",1,FALSE
"Qadha_Babar","Qadha Babar","Candidate",1,FALSE
"Rubina_Irfan","Rubina Irfan","Candidate",1,FALSE
"Syed_Abdul_Karim","Syed Abdul Karim","Candidate",1,FALSE
"Abdul_Ghafoor","Abdul Ghafoor","Candidate",4,TRUE
"Agha_Hassan_Baloch_Advocate","Agha Hassan Baloch Advocate","Candidate",1,FALSE
"Gaman_Khan","Gaman Khan","Candidate",1,FALSE
"Ghulam_Hadiar","Ghulam Hadiar","Candidate",1,FALSE
"Haji_Noor_Muhammad_Shahwani","Haji Noor Muhammad Shahwani","Candidate",1,FALSE
"Haq_Nawaz_Buzdar","Haq Nawaz Buzdar","Candidate",1,FALSE
"Jahanzaib_Baloch","Jahanzaib Baloch","Candidate",1,FALSE
"Khuda_Bukhsh","Khuda Bukhsh","Candidate",1,FALSE
"Malik_Naveed_Dehwar","Malik Naveed Dehwar","Candidate",1,FALSE
