"Candidate_ID","Candidate_Name","Num_Parties"
"Syed_Mukhtar_Hussain_Shah","Syed Mukhtar Hussain Shah",2
"Syed_Qurban_Ali_Shah","Syed Qurban Ali Shah",2
"Syed_Sajjad_Hussain_Shah","Syed Sajjad Hussain Shah",2
"Tahir_Bashir_Cheema","Tahir Bashir Cheema",2
"Taj_Muhammad","Taj Muhammad",2
"Ubaid_Ullah","Ubaid Ullah",2
"Usman_Ali","Usman Ali",2
"Waheed_Ahmad","Waheed Ahmad",2
"Zaka_Ullah","Zaka Ullah",2
"Zulfiqar_Ali_Shah","Zulfiqar Ali Shah",2
