"Candidate_ID","Degree"
"Jamshed_Ahmad_Khan_Dasti",709
"Javaid_Saeed_Kazmi",709
"Javed_Iqbal_Warraich",709
"Javeed_Iqbal_Waraich",709
"Jawad_Hussain",709
"Jawaid_Sheikh",709
"Kakagi_Muhammad_Zahoor",709
"Kamal_Khan",709
"Kamran_Yousaf_Ghumman",709
"Khadeeja_Aamir",709
"Khair_Muhammad_Khan_Tareen",709
"Khalilu_Rehman",709
"Khan_Daraz",709
"Khanim_Ullah",709
"Khanzada_Khan",709
"Khawaja_Atta_Ullah_Khan_Tonsa_Sharif",709
"Khawaja_Ghulam_Hussain",709
"Khawaja_Kaleem-Ud-Din_Koreja_",709
"Khawaja_Kaleem_Ud_Din_Koreja",709
"Khawaja_Muhammad_Saleh",709
"Khawaja_Sheeraz_Mehmood",709
"Khawja_Mudassir_Mehmood",709
"Khizarul_Islam",709
"Khurram_Pervaiz_Raja",709
"Khuwaja_Ghulam_Hussain",709
"Khwaja_Ghulam_Rasool_Koreja",709
"Kiramatullah_Khan",709
"Lal_Muhammad_Khan",709
"Liaqat_Ali_Khan",709
"Lt_col__r__Sultan_Sikandar_Ghumman_",709
"m_Bilal_Khan_Sherpao",709
"m_Israr_Tareen",709
"Mahar_Khliq_Yar_Khan_Lak",709
"Mahesh_Kumar_Malani",709
"Mahesh_Kumar_Malhani",709
"Mahmood_Akhtar_Ghuman",709
"Mahr_Irshad_Ahmed_Siyal",709
"Maj_Retd_Liaqat_Ali_Shah_Gailani",709
"Makhddom_Syed_Murtaza_Mehmood",709
"Makhdoom_Amad-Ud-Din",709
"Makhdoom_Jamil_Uz_Zaman",709
"Makhdoom_Muhammad_Ameen_Fahim",709
"Makhdoom_Shahab-Ud-Din",709
"Makhdoom_Shahab_Ud_Din",709
"Makhdoom_Syed_Ali_Hassan_Gilani",709
"Makhdoom_Syed_Mustafa_Mehmood",709
"Makhdoom_Tahir_Rashid",709
"Makhdum_Syed_Mustafa_Mahmud",709
"Makhdum_Syed_Usman_Mahmud",709
"Malak_Azmat_Khan",709
"Malak_Syed_Noor_Akbar",709
"Malik_Aamer_Fida_Paracha",709
"Malik_Amjad_Aziz_Khan",709
"Malik_Asad_Sikandar",709
"Malik_Asghar_Ali_Qaisar",709
"Malik_Irfan_Ahmad_Gheba",709
"Malik_Khalid_Awan",709
"Malik_Muhammad_Amir_Dogar",709
"Malik_Mushtaq_Ahmad",709
"Malik_Nawab_Sher_Waseer",709
"Malik_Nawab_Sher_Wasseer",709
"Malik_Niaz_Ahmad",709
"Malik_Raza_Rabbani_Khar",709
"Malik_Salah-Ud-Din_Dogar",709
"Malik_Sardar_Muhammad_Tralay_Wala",709
"Malik_Shah",709
"Malik_Shoukat_Hayyat_Awan",709
"Malik_Sohail",709
"Malik_Sultan_Mehmood_Wadhal_Tiwana",709
"Meer_Dost_Muhammad_Mazari",709
"Mehar_Abdul_Rashid_",709
"Mehboob_Ullah_Jan",709
"Mehkumuddin",709
"Mehmood_Hayat_Khan_Alias_Tochi_Khan",709
"Mehmood_Hayat_Khan_Tochi",709
"Mehmood_Hayyat_Khan_Alias_Tauchi_Khan",709
"Mehr_Ghulam_Farid_Kathia",709
"Mehr_Sultana",709
"Mehreen_Anwar_Raja",709
"Mian_Abdul_Haq_Alias_Mian_Mitho",709
"Mian_Abdul_Sattar",709
"Mian_Abdus_Sattar",709
"Mian_Aziz_Ur_Rehman_Chann",709
"Mian_Humayun_Sarwar_Bodla",709
"Mian_Jamshed-Ud-Din",709
"Mian_Manzoor_Ahmad_Khan_Wattoo",709
"Mian_Muhammad_Aslam_Arain",709
"Mian_Muzaffar_Shah",709
"Mian_Nasim_Mahmood_Hotiana",709
"Mian_Omer_Misbah-Ul-Rehman",709
"Mian_Rehman_Aziz_Chan",709
"Mian_Shamim_Haider",709
"Mian_Tariq_Habib_",709
"Mir_Aamir_Ali_Khan_Magsi",709
"Mir_Aijaz_Hussain_Jakhrani",709
"Mir_Amir_Ali_Khan_Magsi",709
"Mir_Changez_Khan_Jamali",709
"Mir_Ghulam_Ali_Talpur",709
"Mir_Ghulam_Fareed_Raisani",709
"Mir_Hazar_Khan_Bijarani_",709
"Mir_Imam_Bakhsh_Zahri",709
"Mir_Imran_Jattak",709
"Mir_Jan_Muhammad_Masuri",709
"Mir_Maqbool_Ahmed_Lehri",709
"Mir_Munawar_Ali_Talpur",709
"Mir_Shabbir_Ali_Bijarani",709
"Mirza_Ikhtiar_Baig",709
"Mirza_Maqbool_Ahmed",709
"Mirza_Muhammad_Nasir_Bage",709
"Mirza_Muhammad_Nasir_Baig",709
"Misbah-Ud-Din",709
"Misbah_Ud_Din",709
