"Candidate_ID","Betweenness"
"Mohsin_Khan",0
"Muhammad_Ajmal_Siddique",0
"Muhammad_Fahad",0
"Muhammad_Mazhar_Jaffar",0
"Nisar_Ahmad_Khattak",0
"Syed_Anis_Raza_Naqvi",0
"Waqas_Ahmad",0
"Nadeem_k_Joseph",0
"Naila_Joseph_Dayal",0
"Bashir_Hussain_Shah",0
"Chaudhary_Muhammad_Adnan_Mushtaq_Chanjotra",0
"Arbab_Ghulam_Rahim",0
"Aurangzaib_Khan",0
"Dilawar_Gulzar",0
"Ghullam_Murtaza_Khan_Jatoi",0
"Kausar_Fatima_Zaidi",0
"Liaquat_Ali_Jatoi",0
"m_Khan_Junejo",0
"Mir_Hussain_Bakhash_Talpur",0
"Muhammad_Faisal",0
"Muhammad_Hassam_Mirza",0
"Muhammad_Mushtaq_Ahmed",0
"Pir_Sadar_Uddin_Shah",0
"Rahila_Magsi",0
"Safdar_Ali_Abbasi",0
"Saira_Bano",0
"Shaheen_Khan",0
"Shaheena",0
"Shaista_Ameer",0
"Shumaila",0
"Syed_Munir_Hyder_Shah",0
"Syed_Mushtaq_Hussain",0
"Syed_Zainulabdin",0
"Umair_Naeem",0
"Asad_Javed_Khan",0
"Abdul_Khaliq_Hazara",0
"Barkat_Ali_Thamki",0
"Muhammad_Raza",0
"Mirza_Hussain",0
"Hussain_Baloch",0
"Hidayat_Ur_Rehman_Baloch",0
"Imtiaz_Alam",0
"Muhammad_Muzammil",0
"Amir_Shehzad",0
"Muhammad_Zia_Khan",0
"Muhammad_Zahid",0
"Aiman_Javed",0
"Bukhtiyar_Ali",0
"Firdous_Ashiq_Awan",0
"Ghulam_Sarwar",0
"Jairam_Das",0
"Jalil_Ahmad_Khan",0
"Mahmood_Baqi_Molvi",0
"Malik_Muhammad_Ahmad_Langrial",0
"Mir_Faiz_Ahmad",0
"Muhammad_Anwar_Azeem_Khan",0
"Muhammad_Aon_Saqlain",0
"Muhammad_Ayaz_Khan_Niazi",0
"Muhammad_Hashim_Dogar",0
"Nargis_Jabeen",0
"Noureen_Iqbal",0
"Rana_Nazeer_Ahmad_Khan",0
"Rasheed_Ahmed",0
"Sharjeel_Mir",0
"Tariq_Mehmood_Qadri",0
"Zunaira_Rehman",0
"Mr_zulfiquar_Ali_Khoso__Retired_",0
"Muhammad_Lateef_Lajpal_Sial",0
"Munir_Ahmad_Zafar",0
"Agha_Syed_Sibtian_Haider_Sabzwari",0
"Ali_Gohar_Shah__Retired_",0
"Kazim_Ali_Shah",0
"Manzoor_Ali",0
"Rana_Intizar_Hussain",0
"Riaz_Hussain_Al_Hussaini__Retired_",0
"Syed_Azizullah_Shah",0
"Syed_Gazanfar_Abbas",0
"Syed_Mujahid_Abbas_Shah",0
"Raja_Zafar_Iqbal",0
"Muhammad_Ashraf_Khan_Niazi",0
"Rana_Muhammad_Ashraf_Advocate",0
"Muhammad_Hanif_Ullah",0
"Syed_Manzoor_Gillani",0
"Hafiz_Hasham_Elahi_Zaheer",0
"Ibtesam_Elahi_Zaheer",0
"Ibtisam_Elahi_Zaheer",0
"Mutasim_Elahi_Zaheer",0
"Gul_Muhammad",0
"Muhammad_Farooq_Rajput",0
"Nawabzada_Shazain_Bugti",0
"Nawabzada_Talal_Akbar_Bughti",0
"Nawabzada_Talal_Akbar_Bugti",0
"Rana_Umar_Nazir_Ahmad_Khan",0
"Sardar_Zia_Ul_Haq",0
"Shah_Wali",0
"Talal_Akbar_Bugti",0
"Bakht_Zar",0
"Muhammad_Asad_Thaniwi_",0
"Rana_Zia_Ahmed_Farooqi_Advocate",0
"Zaheer_Ud_Din_Bader",0
"Dad_Muhammad",0
"Ghulam_Hyder_Jakhro",0
"Hafiz_Fazal_Muhammad_Barech",0
"Haji_Molvi_Muhammad_Hanif",0
"Malik_Abdul_Qayum_Kakar",0
"Mohammad_Nawaz_Katoher",0
"Molana_Abdul_Qadir_Luni",0
"Mollana_Mehmood_Ul_Hassan_Qasmi",0
"Moulana_Asmatullah",0
"Muhammad_Nazeer",0
"Qari_Nazir_Ahmed",0
"Sardarzada_Mir_Saeed_Ahmed_Langove",0
"Ubaid_Ur_Rehman",0
"Syed_Nadeem_Anjum",0
"Abu_Khair_Muhammad_Zubair",0
"Abul_Khair_Mohammad_Zubair",0
"Akhtar_Hussain_Gil",0
"Allama_Muhammad_Yaqoob",0
"Badshah_Muain",0
"Chaudhary_Tariq_Maqsood_Sahi",0
"Doctor_Muhammad_Aslam_Javaid_Awan",0
"Ghulam_Hussain_Farooqi",0
"Hafiz_Ahmed_Ali_Abbasi",0
"Hafiz_Munawar_Hussain",0
"Hafiz_Saeed_Ahmed",0
"Jan_Muhammad_Jat",0
"Khalid_Mahmood_Akhtar_Jajja",0
"Malik_Bashir_Ahmad_Nizami",0
